student_id,lab,dimension,score
S13,2,diagnostic_interpretation,2
S13,2,repair_verification,3
S13,3,problem_identification,2
S13,3,conceptual_explanation,2
S13,3,diagnostic_interpretation,2
S13,3,repair_verification,2
S13,4,problem_identification,3
S13,4,conceptual_explanation,3
S13,4,diagnostic_interpretation,3
S13,4,repair_verification,3
S13,4,uncertainty_awareness,2
S14,1,problem_identification,2
S14,1,conceptual_explanation,2
S14,1,diagnostic_interpretation,1
S14,1,repair_verification,3
S14,2,problem_identification,2
S14,2,conceptual_explanation,1
S14,2,diagnostic_interpretation,2
S14,2,repair_verification,2
S14,3,problem_identification,2
S14,3,conceptual_explanation,1
S14,3,diagnostic_interpretation,2
S14,3,repair_verification,1
S14,4,problem_identification,2
S14,4,conceptual_explanation,2
S14,4,diagnostic_interpretation,2
S14,4,repair_verification,2
S14,4,uncertainty_awareness,1
S15,1,problem_identification,2
S15,1,conceptual_explanation,2
S15,1,diagnostic_interpretation,1
S15,1,repair_verification,2
S15,2,problem_identification,2
S15,2,conceptual_explanation,1
S15,2,diagnostic_interpretation,2
S15,2,repair_verification,2
S15,3,problem_identification,2
S15,3,conceptual_explanation,1
S15,3,diagnostic_interpretation,2
S15,3,repair_verification,1
S15,4,problem_identification,2
S15,4,conceptual_explanation,2
S15,4,diagnostic_interpretation,2
S15,4,repair_verification,2
S15,4,uncertainty_awareness,1
S16,1,problem_identification,2
S16,1,conceptual_explanation,1
S16,1,diagnostic_interpretation,1
S16,1,repair_verification,2
S16,2,problem_identification,2
S16,2,conceptual_explanation,1
S16,2,diagnostic_interpretation,2
S16,2,repair_verification,2
S16,3,problem_identification,1
S16,3,conceptual_explanation,1
S16,3,diagnostic_interpretation,1
S16,3,repair_verification,1
S16,4,problem_identification,2
S16,4,conceptual_explanation,2
S16,4,diagnostic_interpretation,2
S16,4,repair_verification,2
S16,4,uncertainty_awareness,1
S17,1,problem_identification,2
S17,1,conceptual_explanation,2
S17,1,diagnostic_interpretation,1
S17,1,repair_verification,3
S17,2,problem_identification,2
S17,2,conceptual_explanation,1
S17,2,diagnostic_interpretation,2
S17,2,repair_verification,2
S17,3,problem_identification,2
S17,3,conceptual_explanation,1
S17,3,diagnostic_interpretation,2
S17,3,repair_verification,2
S17,4,problem_identification,2
S17,4,conceptual_explanation,2
S17,4,diagnostic_interpretation,2
S17,4,repair_verification,2
S17,4,uncertainty_awareness,1
S18,1,problem_identification,2
S18,1,conceptual_explanation,1
S18,1,diagnostic_interpretation,1
S18,1,repair_verification,2
S18,2,problem_identification,2
S18,2,conceptual_explanation,1
S18,2,diagnostic_interpretation,2
S18,2,repair_verification,2
S18,3,problem_identification,2
S18,3,conceptual_explanation,2
S18,3,diagnostic_interpretation,2
S18,3,repair_verification,2
S18,4,problem_identification,2
S18,4,conceptual_explanation,2
S18,4,diagnostic_interpretation,2
S18,4,repair_verification,2
S18,4,uncertainty_awareness,1
S19,1,problem_identification,3
S19,1,conceptual_explanation,2
S19,1,diagnostic_interpretation,2
S19,1,repair_verification,3
S19,2,problem_identification,2
S19,2,conceptual_explanation,2
S19,2,diagnostic_interpretation,2
S19,2,repair_verification,3
S19,3,problem_identification,2
S19,3,conceptual_explanation,2
S19,3,diagnostic_interpretation,2
S19,3,repair_verification,2
S19,4,problem_identification,3
S19,4,conceptual_explanation,2
S19,4,diagnostic_interpretation,2
S19,4,repair_verification,2
S19,4,uncertainty_awareness,2
S20,1,problem_identification,3
S20,1,conceptual_explanation,2
S20,1,diagnostic_interpretation,2
S20,1,repair_verification,3
S20,2,problem_identification,2
S20,2,conceptual_explanation,2
S20,2,diagnostic_interpretation,2
S20,2,repair_verification,3
S20,3,problem_identification,2
S20,3,conceptual_explanation,2
S20,3,diagnostic_interpretation,2
S20,3,repair_verification,2
S20,4,problem_identification,3
S20,4,conceptual_explanation,3
S20,4,diagnostic_interpretation,3
S20,4,repair_verification,3
S20,4,uncertainty_awareness,2
S21,1,problem_identification,2
S21,1,conceptual_explanation,1
S21,1,diagnostic_interpretation,1
S21,1,repair_verification,2
S21,2,problem_identification,2
S21,2,conceptual_explanation,1
S21,2,diagnostic_interpretation,2
S21,2,repair_verification,2
S21,3,problem_identification,1
S21,3,conceptual_explanation,1
S21,3,diagnostic_interpretation,2
S21,3,repair_verification,1
S21,4,problem_identification,2
S21,4,conceptual_explanation,2
S21,4,diagnostic_interpretation,2
S21,4,repair_verification,2
S21,4,uncertainty_awareness,1
S22,1,problem_identification,2
S22,1,conceptual_explanation,2
S22,1,diagnostic_interpretation,1
S22,1,repair_verification,3
S22,2,problem_identification,2
S22,2,conceptual_explanation,1
S22,2,diagnostic_interpretation,2
S22,2,repair_verification,2
S22,3,problem_identification,2
S22,3,conceptual_explanation,1
S22,3,diagnostic_interpretation,2
S22,3,repair_verification,2
S22,4,problem_identification,3
S22,4,conceptual_explanation,2
S22,4,diagnostic_interpretation,2
S22,4,repair_verification,2
S22,4,uncertainty_awareness,1
S23,1,problem_identification,2
S23,1,conceptual_explanation,1
S23,1,diagnostic_interpretation,1
S23,1,repair_verification,2
S23,2,problem_identification,2
S23,2,conceptual_explanation,1
S23,2,diagnostic_interpretation,2
S23,2,repair_verification,2
S23,3,problem_identification,1
S23,3,conceptual_explanation,1
S23,3,diagnostic_interpretation,2
S23,3,repair_verification,1
S23,4,problem_identification,2
S23,4,conceptual_explanation,2
S23,4,diagnostic_interpretation,2
S23,4,repair_verification,2
S23,4,uncertainty_awareness,1
S24,1,problem_identification,2
S24,1,conceptual_explanation,2
S24,1,diagnostic_interpretation,1
S24,1,repair_verification,3
S24,2,problem_identification,2
S24,2,conceptual_explanation,1
S24,2,diagnostic_interpretation,2
S24,2,repair_verification,2
S24,3,problem_identification,2
S24,3,conceptual_explanation,1
S24,3,diagnostic_interpretation,2
S24,3,repair_verification,2
S24,4,problem_identification,3
S24,4,conceptual_explanation,3
S24,4,diagnostic_interpretation,2
S24,4,repair_verification,3
S24,4,uncertainty_awareness,2
S25,1,problem_identification,2
S25,1,conceptual_explanation,2
S25,1,diagnostic_interpretation,1
S25,1,repair_verification,3
S25,2,problem_identification,2
S25,2,conceptual_explanation,1
S25,2,diagnostic_interpretation,2
S25,2,repair_verification,2
S25,3,problem_identification,2
S25,3,conceptual_explanation,2
S25,3,diagnostic_interpretation,2
S25,3,repair_verification,2
S25,4,problem_identification,2
S25,4,conceptual_explanation,2
S25,4,diagnostic_interpretation,2
S25,4,repair_verification,2
S25,4,uncertainty_awareness,1
S26,1,problem_identification,2
S26,1,conceptual_explanation,1
S26,1,diagnostic_interpretation,1
S26,1,repair_verification,2
S26,2,problem_identification,2
S26,2,conceptual_explanation,1
S26,2,diagnostic_interpretation,2
S26,2,repair_verification,2
S26,3,problem_identification,2
S26,3,conceptual_explanation,2
S26,3,diagnostic_interpretation,2
S26,3,repair_verification,2
S26,4,problem_identification,2
S26,4,conceptual_explanation,2
S26,4,diagnostic_interpretation,2
S26,4,repair_verification,2
S26,4,uncertainty_awareness,1
S27,1,problem_identification,2
S27,1,conceptual_explanation,2
S27,1,diagnostic_interpretation,1
S27,1,repair_verification,3
S27,2,problem_identification,2
S27,2,conceptual_explanation,1
S27,2,diagnostic_interpretation,2
S27,2,repair_verification,2
S27,3,problem_identification,2
S27,3,conceptual_explanation,1
S27,3,diagnostic_interpretation,2
S27,3,repair_verification,2
S27,4,problem_identification,2
S27,4,conceptual_explanation,2
S27,4,diagnostic_interpretation,2
S27,4,repair_verification,2
S27,4,uncertainty_awareness,1
